,label,video_name
1190,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos852_x264.mp4
1658,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing073_x264.mp4
1423,shoplifting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shoplifting/Shoplifting001_x264.mp4
1727,burglary,../input/real-time-anomaly-detection-in-cctv-surveillance/data/burglary/Burglary055_x264.mp4
509,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos005_x264.mp4
403,explosion,../input/real-time-anomaly-detection-in-cctv-surveillance/data/explosion/Explosion016_x264.mp4
43,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents040_x264.mp4
66,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents042_x264.mp4
1517,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery069_x264.mp4
1847,abuse,../input/real-time-anomaly-detection-in-cctv-surveillance/data/abuse/Abuse034_x264.mp4
352,arson,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arson/Arson032_x264.mp4
813,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos685_x264.mp4
1694,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing091_x264.mp4
924,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos848_x264.mp4
1280,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos186_x264.mp4
241,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism050_x264.mp4
316,shooting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/shooting/Shooting012_x264.mp4
1534,robbery,../input/real-time-anomaly-detection-in-cctv-surveillance/data/robbery/Robbery145_x264.mp4
174,assault,../input/real-time-anomaly-detection-in-cctv-surveillance/data/assault/Assault014_x264.mp4
1656,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing061_x264.mp4
243,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism023_x264.mp4
3,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents079_x264.mp4
1611,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing009_x264.mp4
219,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism045_x264.mp4
698,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos640_x264.mp4
1184,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos337_x264.mp4
235,vandalism,../input/real-time-anomaly-detection-in-cctv-surveillance/data/vandalism/Vandalism024_x264.mp4
617,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos471_x264.mp4
894,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos748_x264.mp4
521,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos517_x264.mp4
481,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos369_x264.mp4
792,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos853_x264.mp4
804,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos358_x264.mp4
1187,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos855_x264.mp4
1852,fighting,../input/real-time-anomaly-detection-in-cctv-surveillance/data/fighting/Fighting036_x264.mp4
385,arson,../input/real-time-anomaly-detection-in-cctv-surveillance/data/arson/Arson010_x264.mp4
123,roadaccidents,../input/real-time-anomaly-detection-in-cctv-surveillance/data/roadaccidents/RoadAccidents145_x264.mp4
1379,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos715_x264.mp4
1213,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos_896_x264.mp4
586,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos647_x264.mp4
1614,stealing,../input/real-time-anomaly-detection-in-cctv-surveillance/data/stealing/Stealing082_x264.mp4
474,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos514_x264.mp4
890,normal,../input/real-time-anomaly-detection-in-cctv-surveillance/data/normal/Normal_Videos208_x264.mp4
